From	To	Species	Gene Name
ENSMMUG00000031830	RPP25L	Macaca mulatta	ribonuclease P/MRP subunit p25 like(RPP25L)
ENSMMUG00000031005	RPL39	Macaca mulatta	ribosomal protein L39(RPL39)
ENSMMUG00000011852	BMPR1A	Macaca mulatta	bone morphogenetic protein receptor type 1A(BMPR1A)
ENSMMUG00000028777	LOC713991	Macaca mulatta	ribosomal protein, large, P1-like(LOC713991)
ENSMMUG00000012474	RNF31	Macaca mulatta	ring finger protein 31(RNF31)
ENSMMUG00000005269	TRAPPC10	Macaca mulatta	trafficking protein particle complex 10(TRAPPC10)
ENSMMUG00000002237	LOC698792	Macaca mulatta	40S ribosomal protein SA-like(LOC698792)
ENSMMUG00000018434	AGPAT1	Macaca mulatta	1-acylglycerol-3-phosphate O-acyltransferase 1(AGPAT1)
ENSMMUG00000031424	LOC702713	Macaca mulatta	40S ribosomal protein S20 pseudogene(LOC702713)
ENSMMUG00000012978	C7H14orf119	Macaca mulatta	chromosome 7 open reading frame, human C14orf119(C7H14orf119)
ENSMMUG00000030964	RAB6A	Macaca mulatta	RAB6A, member RAS oncogene family(RAB6A)
ENSMMUG00000018854	RAC2	Macaca mulatta	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)(RAC2)
ENSMMUG00000017191	ZNF546	Macaca mulatta	zinc finger protein 546(ZNF546)
ENSMMUG00000000294	LOC710859	Macaca mulatta	60S ribosomal protein L19 pseudogene(LOC710859)
ENSMMUG00000031224	CSNK2A1	Macaca mulatta	casein kinase 2 alpha 1(CSNK2A1)
ENSMMUG00000019837	rnaseh2c	Macaca mulatta	ribonuclease H2 subunit C(RNASEH2C)
ENSMMUG00000005068	GFI1	Macaca mulatta	growth factor independent 1 transcriptional repressor(GFI1)
ENSMMUG00000031809	LOC708923	Macaca mulatta	heterogeneous nuclear ribonucleoprotein A1-like(LOC708923)
ENSMMUG00000013980	MAT2B	Macaca mulatta	methionine adenosyltransferase 2B(MAT2B)
ENSMMUG00000002249	LOC695169	Macaca mulatta	dnaJ homolog subfamily A member 2(LOC695169)
ENSMMUG00000030947	LOC694712	Macaca mulatta	40S ribosomal protein S13-like(LOC694712)
ENSMMUG00000005470	LOC100424724	Macaca mulatta	uncharacterized LOC100424724(LOC100424724)
ENSMMUG00000001901	TMX1	Macaca mulatta	thioredoxin related transmembrane protein 1(TMX1)
ENSMMUG00000031635	LOC695633	Macaca mulatta	small nuclear ribonucleoprotein G pseudogene(LOC695633)
ENSMMUG00000005659	FSBP	Macaca mulatta	fibrinogen silencer binding protein(FSBP)
ENSMMUG00000015832	NSMCE1	Macaca mulatta	NSE1 homolog, SMC5-SMC6 complex component(NSMCE1)
ENSMMUG00000030183	LOC703685	Macaca mulatta	cytochrome c oxidase subunit 6C(LOC703685)
ENSMMUG00000032194	LOC711626	Macaca mulatta	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa pseudogene(LOC711626)
ENSMMUG00000031027	DUS3L	Macaca mulatta	dihydrouridine synthase 3 like(DUS3L)
ENSMMUG00000005655	DTD2	Macaca mulatta	D-tyrosyl-tRNA deacylase 2 (putative)(DTD2)
ENSMMUG00000012203	AHR	Macaca mulatta	aryl hydrocarbon receptor(AHR)
ENSMMUG00000001214	LOC696470	Macaca mulatta	dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase(LOC696470)
ENSMMUG00000004839	IGF2BP3	Macaca mulatta	insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
ENSMMUG00000031876	LOC718737	Macaca mulatta	60S ribosomal protein L23a(LOC718737)
ENSMMUG00000018621	CDK7	Macaca mulatta	cyclin dependent kinase 7(CDK7)
ENSMMUG00000014402	FCN1	Macaca mulatta	ficolin 1(FCN1)
ENSMMUG00000013157	LYPLA1	Macaca mulatta	lysophospholipase I(LYPLA1)
ENSMMUG00000010679	MRPL43	Macaca mulatta	mitochondrial ribosomal protein L43(MRPL43)
ENSMMUG00000004441	S100A11	Macaca mulatta	S100 calcium binding protein A11(S100A11)
ENSMMUG00000029931	RPL41	Macaca mulatta	ribosomal protein L41(RPL41)
ENSMMUG00000010883	SPACA5	Macaca mulatta	sperm acrosome associated 5(SPACA5)
ENSMMUG00000018874	RIT1	Macaca mulatta	Ras like without CAAX 1(RIT1)
ENSMMUG00000004059	USP7	Macaca mulatta	ubiquitin specific peptidase 7(USP7)
ENSMMUG00000003313	ATP5F1	Macaca mulatta	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1(ATP5F1)
ENSMMUG00000018611	PKIA	Macaca mulatta	protein kinase (cAMP-dependent, catalytic) inhibitor alpha(PKIA)
ENSMMUG00000019032	EML2	Macaca mulatta	echinoderm microtubule associated protein like 2(EML2)
ENSMMUG00000019238	RNPS1	Macaca mulatta	RNA binding protein with serine rich domain 1(RNPS1)
ENSMMUG00000008795	PKD2	Macaca mulatta	polycystin 2, transient receptor potential cation channel(PKD2)
ENSMMUG00000016894	RPS25	Macaca mulatta	ribosomal protein S25(RPS25)
ENSMMUG00000029159	ZNF48	Macaca mulatta	zinc finger protein 48(ZNF48)
ENSMMUG00000018871	HNRNPK	Macaca mulatta	heterogeneous nuclear ribonucleoprotein K(HNRNPK)
ENSMMUG00000016898	DUT	Macaca mulatta	deoxyuridine triphosphatase(DUT)
ENSMMUG00000010687	HEXA	Macaca mulatta	hexosaminidase subunit alpha(HEXA)
